index,Title,Summary,Enrollment,Stars,Link,Website
89,Machine Learning Foundations: A Case Study Approach,University of Washington,240000,4.6,https://www.coursera.org/,Coursera
90,Java Programming: Complete Beginner to Advanced,Become a Computer Programmer by Learning Core Java Skills,237481,4.2,https://www.udemy.com/course/java-programming-complete-beginner-to-advanced/,Udemy
91,English for Business and Entrepreneurship,University of Pennsylvania,230000,4.8,https://www.coursera.org/,Coursera
92,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,230000,4.8,https://www.coursera.org/,Coursera
93,Project Management Principles and Practices,"University of California, Irvine",230000,4.7,https://www.coursera.org/,Coursera
94,Unreal Engine C++ Developer: Learn C++ and Make Video Games,Created in collaboration with Epic Games. Learn C++ from basics while making your first 4 video games in Unreal,229005,4.5,https://www.udemy.com/course/unrealcourse/,Udemy
95,Algorithmic Toolbox,University of California San Diego,220000,4.7,https://www.coursera.org/,Coursera
96,Applied Data Science,IBM,220000,4.6,https://www.coursera.org/,Coursera
97,Contabilidad para no contadores,Universidad Nacional Autónoma de México,220000,4.7,https://www.coursera.org/,Coursera
98,COVID-19 Contact Tracing,Johns Hopkins University,220000,4.9,https://www.coursera.org/,Coursera
99,Data Analysis and Presentation Skills: the PwC Approach,PwC,220000,4.6,https://www.coursera.org/,Coursera
100,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,220000,4.7,https://www.coursera.org/,Coursera
101,IBM Applied AI,IBM,220000,4.6,https://www.coursera.org/,Coursera
102,Introduction to HTML5,University of Michigan,220000,4.7,https://www.coursera.org/,Coursera
103,Introduction to Marketing,University of Pennsylvania,220000,4.8,https://www.coursera.org/,Coursera
104,Leading People and Teams,University of Michigan,220000,4.7,https://www.coursera.org/,Coursera
105,Social Psychology,Wesleyan University,220000,4.7,https://www.coursera.org/,Coursera
106,Statistics with R,Duke University,220000,4.7,https://www.coursera.org/,Coursera
107,Structuring Machine Learning Projects,deeplearning.ai,220000,4.8,https://www.coursera.org/,Coursera
108,Using Databases with Python,University of Michigan,220000,4.8,https://www.coursera.org/,Coursera
109,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,210000,4.9,https://www.coursera.org/,Coursera
110,Data Science: Statistics and Machine Learning,Johns Hopkins University,210000,4.4,https://www.coursera.org/,Coursera
111,Guitar for Beginners,Berklee College of Music,210000,4.8,https://www.coursera.org/,Coursera
112,Front End Web Development For Beginners (A Practical Guide),"Learn Front-End Web Development: Quickly Master HTML5, CSS3, JS, Bootstrap: By Building A Project From Scratch",209637,4.2,https://www.udemy.com/course/learn-front-end-development/,Udemy
113,Python for beginners,Master the fundamentals of Python while working on various usecases in easy steps,209331,4.4,https://www.udemy.com/course/python-core-and-advanced/,Udemy
114,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,203366,4.6,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Udemy
115,Modern React with Redux [2020 Update],"Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App. Includes Hooks!",203214,4.7,https://www.udemy.com/course/react-redux/,Udemy
116,The Complete Node.js Developer Course (3rd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Jest, and more!",202922,4.7,https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,Udemy
117,Aprender,Universidad Nacional Autónoma de México,200000,4.8,https://www.coursera.org/,Coursera
118,English Composition I,Duke University,200000,4.6,https://www.coursera.org/,Coursera
119,Excel Skills for Business: Essentials,Macquarie University,200000,4.9,https://www.coursera.org/,Coursera
120,Fundamentals of Computing,Rice University,200000,4.8,https://www.coursera.org/,Coursera
121,Introduction to Financial Accounting,University of Pennsylvania,200000,4.7,https://www.coursera.org/,Coursera
122,Think Again I: How to Understand Arguments,Duke University,200000,4.6,https://www.coursera.org/,Coursera
123,Build Responsive Real World Websites with HTML5 and CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",197609,4.6,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Udemy
124,The Python Mega Course: Build 10 Real World Applications,A complete Python course for both beginners and intermediates! Master Python 3 by making 10 amazing Python apps.,196701,4.5,https://www.udemy.com/course/the-python-mega-course/,Udemy
125,30 Days of Python | Unlock your Python Potential,"Python is simple enough for beginners, powerful enough for the pros. Use it for IOT, Web Scraping, Big Data, and more.",194451,4.4,https://www.udemy.com/course/30-days-of-python/,Udemy
126,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",190291,4.6,https://www.udemy.com/course/docker-mastery/,Udemy
127,Advanced Machine Learning,National Research University Higher School of Economics,190000,4.5,https://www.coursera.org/,Coursera
128,Étudier en France: French Intermediate course B1-B2,École Polytechnique,190000,4.8,https://www.coursera.org/,Coursera
129,Project Launch,"University of California, Irvine",190000,4.7,https://www.coursera.org/,Coursera
130,Psychological First Aid,Johns Hopkins University,190000,4.8,https://www.coursera.org/,Coursera
131,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,190000,4.8,https://www.coursera.org/,Coursera
132,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",188765,4.6,https://www.udemy.com/course/r-programming/,Udemy
133,The Complete Full-Stack JavaScript Course!,"Learn full-stack web development using JavaScript (ReactJS, NodeJS, LoopbackJS, Redux and Material-UI)!",181532,4.4,https://www.udemy.com/course/full-stack-javascript/,Udemy
134,Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",180119,4.6,https://www.udemy.com/course/datascience/,Udemy
135,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,180000,4.9,https://www.coursera.org/,Coursera
136,Basic Statistics,University of Amsterdam,180000,4.6,https://www.coursera.org/,Coursera
137,Fashion as Design,The Museum of Modern Art,180000,4.8,https://www.coursera.org/,Coursera
138,Fundamentals of Music Theory,The University of Edinburgh,180000,4.6,https://www.coursera.org/,Coursera
139,Initiating and Planning Projects,"University of California, Irvine",180000,4.7,https://www.coursera.org/,Coursera
140,Learn to Program: The Fundamentals,University of Toronto,180000,4.8,https://www.coursera.org/,Coursera
141,Positive Psychology,The University of North Carolina at Chapel Hill,180000,4.7,https://www.coursera.org/,Coursera
142,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",180000,4.6,https://www.coursera.org/,Coursera
143,iOS 13 & Swift 5 - The Complete iOS App Development Bootcamp,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,179598,4.8,https://www.udemy.com/course/ios-13-app-development-bootcamp/,Udemy
